n_estimators,max_depth,gamma,colsample_bytree,subsample
50,4,0.1,0.6,0.6
50,4,0.1,0.6,1.0
50,4,0.1,1.0,0.6
50,4,0.1,1.0,1.0
50,4,0.2,0.6,0.6
50,4,0.2,0.6,1.0
50,4,0.2,1.0,0.6
50,4,0.2,1.0,1.0
50,4,0.3,0.6,0.6
50,4,0.3,0.6,1.0
50,4,0.3,1.0,0.6
50,4,0.3,1.0,1.0
50,4,0.4,0.6,0.6
50,4,0.4,0.6,1.0
50,4,0.4,1.0,0.6
50,4,0.4,1.0,1.0
50,5,0.1,0.6,0.6
50,5,0.1,0.6,1.0
50,5,0.1,1.0,0.6
50,5,0.1,1.0,1.0
50,5,0.2,0.6,0.6
50,5,0.2,0.6,1.0
50,5,0.2,1.0,0.6
50,5,0.2,1.0,1.0
50,5,0.3,0.6,0.6
50,5,0.3,0.6,1.0
50,5,0.3,1.0,0.6
50,5,0.3,1.0,1.0
50,5,0.4,0.6,0.6
50,5,0.4,0.6,1.0
50,5,0.4,1.0,0.6
50,5,0.4,1.0,1.0
50,6,0.1,0.6,0.6
50,6,0.1,0.6,1.0
50,6,0.1,1.0,0.6
50,6,0.1,1.0,1.0
50,6,0.2,0.6,0.6
50,6,0.2,0.6,1.0
50,6,0.2,1.0,0.6
50,6,0.2,1.0,1.0
50,6,0.3,0.6,0.6
50,6,0.3,0.6,1.0
50,6,0.3,1.0,0.6
50,6,0.3,1.0,1.0
50,6,0.4,0.6,0.6
50,6,0.4,0.6,1.0
50,6,0.4,1.0,0.6
50,6,0.4,1.0,1.0
50,7,0.1,0.6,0.6
50,7,0.1,0.6,1.0
50,7,0.1,1.0,0.6
50,7,0.1,1.0,1.0
50,7,0.2,0.6,0.6
50,7,0.2,0.6,1.0
50,7,0.2,1.0,0.6
50,7,0.2,1.0,1.0
50,7,0.3,0.6,0.6
50,7,0.3,0.6,1.0
50,7,0.3,1.0,0.6
50,7,0.3,1.0,1.0
50,7,0.4,0.6,0.6
50,7,0.4,0.6,1.0
50,7,0.4,1.0,0.6
50,7,0.4,1.0,1.0
100,4,0.1,0.6,0.6
100,4,0.1,0.6,1.0
100,4,0.1,1.0,0.6
100,4,0.1,1.0,1.0
100,4,0.2,0.6,0.6
100,4,0.2,0.6,1.0
100,4,0.2,1.0,0.6
100,4,0.2,1.0,1.0
100,4,0.3,0.6,0.6
100,4,0.3,0.6,1.0
100,4,0.3,1.0,0.6
100,4,0.3,1.0,1.0
100,4,0.4,0.6,0.6
100,4,0.4,0.6,1.0
100,4,0.4,1.0,0.6
100,4,0.4,1.0,1.0
100,5,0.1,0.6,0.6
100,5,0.1,0.6,1.0
100,5,0.1,1.0,0.6
100,5,0.1,1.0,1.0
100,5,0.2,0.6,0.6
100,5,0.2,0.6,1.0
100,5,0.2,1.0,0.6
100,5,0.2,1.0,1.0
100,5,0.3,0.6,0.6
100,5,0.3,0.6,1.0
100,5,0.3,1.0,0.6
100,5,0.3,1.0,1.0
100,5,0.4,0.6,0.6
100,5,0.4,0.6,1.0
100,5,0.4,1.0,0.6
100,5,0.4,1.0,1.0
100,6,0.1,0.6,0.6
